"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
2947,"2018-03-02",0.926638,0.933912,0.902286,0.910144,271036000,36226700000,"XRP",-0.0177998312178003,"03","2018","02","2018-03","Down",-0.0010805624206358
2948,"2018-03-01",0.904131,0.953796,0.89063,0.928347,475257000,35346800000,"XRP",0.026783729348955,"03","2018","01","2018-03","Up",-0.0177998312178003
2949,"2018-02-28",0.944697,0.95555,0.903787,0.904583,329530000,36932700000,"XRP",-0.0424622921423483,"02","2018","28","2018-02","Down",0.026783729348955
2950,"2018-02-27",0.959302,0.97258,0.944977,0.947305,312713000,37503700000,"XRP",-0.0125059678808134,"02","2018","27","2018-02","Down",-0.0424622921423483
2951,"2018-02-26",0.943704,0.970906,0.913403,0.956859,458613000,36893900000,"XRP",0.0139397522952112,"02","2018","26","2018-02","Up",-0.0125059678808134
2952,"2018-02-25",0.951977,0.967597,0.915279,0.943487,360271000,37217300000,"XRP",-0.00891828268960279,"02","2018","25","2018-02","Down",0.0139397522952112
2953,"2018-02-24",0.997659,1.01,0.929456,0.954402,489920000,39003300000,"XRP",-0.0433585022537761,"02","2018","24","2018-02","Down",-0.00891828268960279
2954,"2018-02-23",0.934176,1.03,0.898286,0.998855,896404000,36441500000,"XRP",0.0692364179769123,"02","2018","23","2018-02","Up",-0.0433585022537761
2955,"2018-02-22",1.01,1.05,0.922458,0.941788,889707000,39487400000,"XRP",-0.0675366336633664,"02","2018","22","2018-02","Down",0.0692364179769123
2956,"2018-02-21",1.08,1.1,0.998881,1.02,871526000,42207600000,"XRP",-0.0555555555555556,"02","2018","21","2018-02","Down",-0.0675366336633664
2957,"2018-02-20",1.14,1.17,1.08,1.09,806673000,44648100000,"XRP",-0.0438596491228069,"02","2018","20","2018-02","Down",-0.0555555555555556
2958,"2018-02-19",1.12,1.17,1.12,1.14,556304000,43813300000,"XRP",0.0178571428571427,"02","2018","19","2018-02","Up",-0.0438596491228069
2959,"2018-02-18",1.2,1.21,1.09,1.12,1113650000,46997500000,"XRP",-0.0666666666666665,"02","2018","18","2018-02","Down",0.0178571428571427
2960,"2018-02-17",1.14,1.22,1.13,1.2,1186730000,44370200000,"XRP",0.0526315789473685,"02","2018","17","2018-02","Up",-0.0666666666666665
2961,"2018-02-16",1.14,1.15,1.11,1.14,568339000,44663300000,"XRP",0,"02","2018","16","2018-02","Up",0.0526315789473685
2962,"2018-02-15",1.14,1.16,1.11,1.15,1188530000,44433600000,"XRP",0.00877192982456141,"02","2018","15","2018-02","Up",0
2963,"2018-02-14",1.03,1.17,1.02,1.14,1457600000,40026500000,"XRP",0.106796116504854,"02","2018","14","2018-02","Up",0.00877192982456141
2964,"2018-02-13",1.08,1.08,1.01,1.03,921100000,42119800000,"XRP",-0.0462962962962963,"02","2018","13","2018-02","Down",0.106796116504854
2965,"2018-02-12",1.01,1.11,1.01,1.08,1756290000,39262700000,"XRP",0.0693069306930694,"02","2018","12","2018-02","Up",-0.0462962962962963
2966,"2018-02-11",1.07,1.08,0.929767,1,2555310000,41635500000,"XRP",-0.0654205607476636,"02","2018","11","2018-02","Down",0.0693069306930694
2967,"2018-02-10",0.947251,1.3,0.947251,1.07,4682010000,36951500000,"XRP",0.129584450161573,"02","2018","10","2018-02","Up",-0.0654205607476636
2968,"2018-02-09",0.79714,0.954428,0.77154,0.954428,1690340000,31095800000,"XRP",0.197315402564167,"02","2018","09","2018-02","Up",0.129584450161573
